feature,gain
Tot sum,4050.1171875
Tot size,3678.34814453125
AVG,3666.669921875
Number,1770.7720947265625
TCP,1116.424560546875
transport_ratio_tcp_udp,964.4251708984375
rst_count,659.9404296875
HTTPS,621.986083984375
ack_count,588.8726196289062
service_ratio_dns_http,304.23968505859375
UDP,266.6390686035156
HTTP,253.23765563964844
SSH,243.851806640625
syn_count,229.27947998046875
Max,226.2155303955078
Protocol Type,215.36656188964844
IAT,191.3804931640625
Header_Length,164.9949951171875
flag_activity,159.62530517578125
syn_flag_number,133.6141815185547
pkt_size_range,123.02833557128906
ack_flag_number,116.4823989868164
rst_flag_number,110.37815856933594
Min,91.17292785644531
Rate,76.40137481689453
ICMP,66.91645050048828
Time_To_Live,63.87715530395508
fin_flag_number,52.55214309692383
Std,49.806617736816406
psh_flag_number,47.66777801513672
DNS,44.71253204345703
fin_count,42.36691665649414
rate_iat_interaction,36.300941467285156
Variance,34.75757598876953
ece_flag_number,28.985992431640625
LLC,22.297508239746094
cwr_flag_number,18.31800079345703
ARP,18.08719825744629
IRC,17.413318634033203
IPv,17.357921600341797
DHCP,8.793924331665039
IGMP,1.709320068359375
